name,link_id,osm_way_id,from_node_id,to_node_id,dir_flag,length,lanes,free_speed,capacity,link_type_name,link_type,geometry,allowed_uses,from_biway
County Road 8070,9865,677770494,1341,319,1,80.23847107773196,1,29,,unclassified,11,"LINESTRING (-91.793885 37.980841, -91.793888 37.980618, -91.793863 37.980415, -91.793818 37.98028, -91.793739 37.980138)",bike,1
County Road 8070,9866,677770494,1341,320,1,124.43336207662443,1,29,,unclassified,11,"LINESTRING (-91.793885 37.980841, -91.79388 37.981152, -91.79388899999999 37.98196)",bike,1
County Road 8070,9867,677770494,320,1341,1,124.43336207662443,1,29,,unclassified,11,"LINESTRING (-91.79388899999999 37.98196, -91.79388 37.981152, -91.793885 37.980841)",bike,1
County Road 8070,9868,677770494,320,936,1,734.1494656709407,1,29,,unclassified,11,"LINESTRING (-91.79388899999999 37.98196, -91.793919 37.982852, -91.79394499999999 37.983616, -91.793914 37.986123, -91.793935 37.987183, -91.79396800000001 37.988055, -91.794027 37.988559)",bike,1
County Road 8070,9869,677770494,936,320,1,734.1494656709407,1,29,,unclassified,11,"LINESTRING (-91.794027 37.988559, -91.79396800000001 37.988055, -91.793935 37.987183, -91.793914 37.986123, -91.79394499999999 37.983616, -91.793919 37.982852, -91.79388899999999 37.98196)",bike,1
County Road 8070,9870,677770494,936,1812,1,266.469149251905,1,29,,unclassified,11,"LINESTRING (-91.794027 37.988559, -91.794061 37.988725, -91.79433899999999 37.989245, -91.79463199999999 37.989878, -91.79480700000001 37.990256, -91.794962 37.990664, -91.795063 37.990805)",bike,1
County Road 8070,9871,677770494,1812,936,1,266.469149251905,1,29,,unclassified,11,"LINESTRING (-91.795063 37.990805, -91.794962 37.990664, -91.79480700000001 37.990256, -91.79463199999999 37.989878, -91.79433899999999 37.989245, -91.794061 37.988725, -91.794027 37.988559)",bike,1
County Road 8070,9872,677770494,1812,1656,1,654.7904706789813,1,29,,unclassified,11,"LINESTRING (-91.795063 37.990805, -91.795194 37.990989, -91.79540900000001 37.991172, -91.795658 37.99135, -91.79595999999999 37.991503, -91.796291 37.991582, -91.796937 37.991634, -91.797697 37.991634, -91.798181 37.991654, -91.798543 37.991635, -91.79878100000001 37.991607, -91.79896100000001 37.991647, -91.799131 37.991716, -91.799234 37.991785, -91.799621 37.991984, -91.799781 37.992038, -91.800369 37.992165, -91.8017 37.992417, -91.80191499999999 37.992458)",bike,1
County Road 8070,9873,677770494,1656,1812,1,654.7904706789811,1,29,,unclassified,11,"LINESTRING (-91.80191499999999 37.992458, -91.8017 37.992417, -91.800369 37.992165, -91.799781 37.992038, -91.799621 37.991984, -91.799234 37.991785, -91.799131 37.991716, -91.79896100000001 37.991647, -91.79878100000001 37.991607, -91.798543 37.991635, -91.798181 37.991654, -91.797697 37.991634, -91.796937 37.991634, -91.796291 37.991582, -91.79595999999999 37.991503, -91.795658 37.99135, -91.79540900000001 37.991172, -91.795194 37.990989, -91.795063 37.990805)",bike,1
County Road 8070,9874,677770494,1656,2496,1,110.00829930052768,1,29,,unclassified,11,"LINESTRING (-91.80191499999999 37.992458, -91.80276600000001 37.992625, -91.80312790000001 37.992712)",bike,1
County Road 8070,9875,677770494,2496,1656,1,110.00829930052768,1,29,,unclassified,11,"LINESTRING (-91.80312790000001 37.992712, -91.80276600000001 37.992625, -91.80191499999999 37.992458)",bike,1
Brook Drive,9876,677770495,4013,4014,1,118.68861947968983,1,25,,residential,6,"LINESTRING (-91.7745439 37.9722769, -91.7745506 37.9722377, -91.77453730000001 37.9721776, -91.77411290000001 37.9712705)",bike,1
Brook Drive,9877,677770495,4014,4013,1,118.68861947968983,1,25,,residential,6,"LINESTRING (-91.77411290000001 37.9712705, -91.77453730000001 37.9721776, -91.7745506 37.9722377, -91.7745439 37.9722769)",bike,1
Brook Drive,9878,677770495,4014,4015,1,263.0217330199715,1,25,,residential,6,"LINESTRING (-91.77411290000001 37.9712705, -91.7736002 37.9701596, -91.77355679999999 37.9700982, -91.77351539999999 37.9700547, -91.77347399999999 37.9700236, -91.77341680000001 37.9699925, -91.77333 37.9699692, -91.7732413 37.9699614, -91.77220610000001 37.9699661)",bike,1
